"phone","churn","account_length","area_code","custserv_calls","day_calls","day_charge","day_mins","eve_calls","eve_charge","eve_mins","intl_calls","intl_charge","intl_mins","intl_plan","night_calls","night_charge","night_mins","vmail_message","vmail_plan"
"331-9861","no",100,"415",1,115,26.13,153.7,146,11.71,137.8,5,4.29,15.9,"no",104,9.61,213.5,26,"yes"
"330-2881","no",96,"415",1,96,44.42,261.3,101,18.78,220.9,2,3.05,11.3,"no",97,8.07,179.4,27,"yes"
"402-9558","no",108,"510",1,102,41.85,246.2,134,17.2,202.4,5,2.54,9.4,"no",95,8.1,180.1,0,"no"
"341-3180","no",84,"510",0,88,32.47,191.0,119,27.1,318.8,4,1.76,6.5,"no",79,11.13,247.3,0,"no"
"371-8598","no",134,"408",1,86,35.41,208.3,89,21.56,253.6,3,3.4,12.6,"no",86,13.1,291.0,0,"no"
"398-8385","no",72,"415",0,73,43.01,253.0,78,18.64,219.3,4,2.65,9.8,"no",89,9.49,210.8,0,"no"
"333-4154","no",83,"408",0,87,34.39,202.3,111,17.13,201.5,4,1.84,6.8,"no",82,4.58,101.7,0,"no"
"330-3589","no",137,"408",0,120,29.65,174.4,98,13.29,156.3,5,2.75,10.2,"no",121,6.14,136.5,0,"no"
"417-1477","no",56,"415",1,89,21.61,127.1,116,14.63,172.1,3,3.27,12.1,"no",111,8.76,194.6,30,"yes"
"327-5525","no",61,"510",0,76,24.4,143.5,58,20.62,242.6,3,3.05,11.3,"yes",95,6.65,147.7,16,"yes"
"363-8244","no",171,"510",1,94,31.77,186.9,138,20.4,240.0,3,1.57,5.8,"no",64,9.04,200.9,17,"yes"
"419-9104","no",123,"510",1,118,32.98,194.0,114,20.57,242.0,4,3.27,12.1,"no",108,6.58,146.3,0,"no"
"363-1560","no",58,"510",0,89,39.92,234.8,131,9.08,106.8,6,2.67,9.9,"no",122,8.03,178.5,0,"no"
"341-4075","no",156,"510",1,96,21.03,123.7,80,8.76,103.0,4,3.54,13.1,"no",82,8.52,189.4,0,"no"
"366-9074","no",166,"510",0,103,29.56,173.9,83,23.49,276.4,5,4.13,15.3,"no",113,8.59,190.8,0,"no"
"367-1424","no",75,"510",1,115,22.25,130.9,110,17.29,203.4,4,3.35,12.4,"no",68,7.73,171.7,41,"yes"
"341-1191","yes",75,"415",2,102,53.48,314.6,86,14.43,169.8,3,1.54,5.7,"no",100,12.83,285.1,0,"no"
"342-9480","no",83,"510",1,78,38.74,227.9,115,17.64,207.5,5,3.27,12.1,"no",100,9.53,211.7,0,"no"
"355-9360","no",243,"510",2,92,16.24,95.5,63,13.91,163.7,6,1.78,6.6,"no",118,11.89,264.2,0,"no"
"343-1538","no",153,"408",1,127,31.5,185.3,73,17.68,208.0,3,4.08,15.1,"no",124,9.27,206.1,0,"no"
"335-2331","no",150,"415",1,133,24.87,146.3,95,17.23,202.7,3,3.54,13.1,"no",103,10.56,234.7,0,"no"
"335-7257","no",92,"510",2,99,31.28,184.0,134,6.49,76.4,3,3.43,12.7,"no",96,8.33,185.1,16,"yes"
"332-2137","no",80,"415",0,110,17.99,105.8,88,3.73,43.9,5,3.54,13.1,"no",87,8.53,189.6,0,"no"
"352-2998","no",134,"415",1,110,30.26,178.0,64,13.07,153.8,4,3.16,11.7,"no",105,10.65,236.6,0,"no"
"346-6941","no",77,"510",1,74,25.4,149.4,72,10.53,123.9,6,2.73,10.1,"no",84,7.84,174.3,24,"yes"
"400-2203","no",147,"510",2,104,35.6,209.4,78,11.26,132.5,3,3.05,11.3,"no",123,6.72,149.4,0,"no"
"421-2955","no",74,"415",1,105,29.26,172.1,99,17.99,211.7,6,3.13,11.6,"no",105,8.2,182.2,0,"no"
"331-6629","no",138,"510",1,82,28.78,169.3,147,18.52,217.9,9,2.54,9.4,"yes",77,8.29,184.2,0,"no"
"343-6314","no",143,"415",0,117,20.25,119.1,136,24.45,287.7,4,3.29,12.2,"no",100,10.04,223.0,0,"no"
"414-6638","no",64,"415",2,147,33.01,194.2,87,14.74,173.4,2,1.49,5.5,"no",114,12.09,268.7,0,"no"
"350-5883","no",120,"510",2,56,33.8,198.8,73,19.56,230.1,3,2.67,9.9,"no",81,5.39,119.8,0,"no"
"409-4447","yes",121,"408",3,94,28.51,167.7,121,7.96,93.7,1,3.62,13.4,"yes",115,10.86,241.3,0,"no"
"376-4856","no",88,"415",2,86,34.37,202.2,93,18.43,216.8,2,3.19,11.8,"no",99,10.77,239.4,0,"no"
"335-1874","yes",87,"408",2,106,54.83,322.5,93,17.39,204.6,4,2.54,9.4,"no",128,8.38,186.2,0,"no"
"397-6255","no",100,"510",0,107,36.75,216.2,84,18.33,215.6,3,2.75,10.2,"no",127,6.23,138.4,0,"no"
"381-5047","no",104,"415",3,116,12.99,76.4,74,9.83,115.6,3,2.54,9.4,"no",94,10.18,226.3,0,"no"
"403-6850","no",27,"510",1,75,12.36,72.7,117,17.73,208.6,3,2.67,9.9,"no",71,2.96,65.8,0,"no"
"375-3658","no",81,"415",0,100,35.77,210.4,97,19.17,225.5,4,2.62,9.7,"no",120,7.59,168.7,31,"yes"
"341-2603","no",64,"510",0,93,21.62,127.2,104,13.85,162.9,13,2.19,8.1,"yes",109,11.13,247.4,33,"yes"
"342-5062","no",107,"510",1,79,34.31,201.8,128,25.92,304.9,8,3.21,11.9,"no",133,10.15,225.6,28,"yes"
"354-1558","no",88,"415",1,78,37.32,219.5,94,18.88,222.1,5,4.35,16.1,"no",92,8.47,188.3,17,"yes"
"351-9537","no",111,"408",3,112,16.88,99.3,136,22.99,270.5,6,2.43,9.0,"no",94,10.14,225.3,0,"no"
"401-1252","no",77,"415",5,114,40.66,239.2,115,12.75,150.0,2,2.78,10.3,"no",81,7.24,160.8,0,"no"
"366-9538","no",67,"415",2,58,20.55,120.9,88,19.98,235.0,11,3.08,11.4,"yes",130,4.28,95.1,0,"no"
"364-7622","no",102,"408",1,81,38.2,224.7,112,11.0,129.4,6,4.27,15.8,"no",109,7.54,167.6,0,"no"
"393-9918","no",146,"408",1,88,30.02,176.6,66,13.83,162.7,6,3.94,14.6,"no",98,9.7,215.5,19,"yes"
"376-4484","no",144,"415",1,98,48.26,283.9,109,16.32,192.0,4,2.7,10.0,"no",85,8.83,196.3,51,"yes"
"410-6791","yes",96,"415",1,92,30.7,180.6,114,16.23,190.9,4,2.78,10.3,"no",125,13.3,295.6,0,"no"
"343-2392","no",70,"415",1,101,21.4,125.9,102,16.69,196.4,4,2.78,10.3,"no",75,11.37,252.7,31,"yes"
"408-4323","no",149,"408",0,79,40.39,237.6,107,16.35,192.4,9,2.46,9.1,"no",111,9.33,207.4,0,"no"
"395-1718","no",129,"415",2,91,33.73,198.4,106,22.5,264.7,2,2.48,9.2,"no",101,5.01,111.4,0,"no"
"354-9492","no",166,"408",0,110,46.63,274.3,109,4.5,52.9,5,2.94,10.9,"no",119,11.07,246.1,0,"no"
"367-8168","yes",136,"408",3,89,33.93,199.6,96,17.97,211.4,4,2.97,11.0,"yes",84,3.26,72.4,0,"no"
"340-3500","no",149,"510",3,91,37.01,217.7,74,23.25,273.5,3,2.59,9.6,"no",99,10.21,226.9,0,"no"
"369-4962","no",70,"415",3,96,22.9,134.7,90,20.05,235.9,6,2.05,7.6,"no",113,11.71,260.2,0,"no"
"334-8967","no",120,"415",2,73,36.16,212.7,103,21.89,257.5,13,2.62,9.7,"no",119,10.25,227.8,24,"yes"
"402-2377","no",66,"510",2,135,43.57,256.3,106,15.32,180.2,7,1.67,6.2,"no",135,8.43,187.3,0,"no"
"366-3917","no",104,"408",1,133,31.21,183.6,98,10.26,120.7,2,3.43,12.7,"no",112,9.68,215.1,0,"no"
"333-3531","no",160,"415",1,90,29.95,176.2,115,16.66,196.0,4,2.48,9.2,"no",95,11.88,263.9,0,"no"
"333-8954","no",129,"415",1,94,34.85,205.0,103,14.06,165.4,8,3.16,11.7,"no",81,8.32,185.0,37,"yes"
"374-9203","yes",93,"408",3,114,45.54,267.9,74,18.96,223.0,3,3.05,11.3,"no",90,11.82,262.7,0,"no"
"334-3289","no",169,"415",2,111,30.46,179.2,130,14.89,175.2,6,2.67,9.9,"no",92,10.29,228.6,0,"no"
"353-7822","no",58,"415",1,145,25.4,149.4,105,16.7,196.5,3,4.02,14.9,"no",108,9.43,209.5,0,"no"
"350-1422","no",75,"510",3,132,27.81,163.6,113,12.47,146.7,3,3.54,13.1,"no",115,15.56,345.8,38,"yes"
"385-8406","no",45,"408",1,71,35.29,207.6,94,12.98,152.7,13,3.35,12.4,"no",125,9.8,217.8,0,"no"
"380-7277","no",155,"510",3,108,28.12,165.4,103,15.61,183.7,4,2.4,8.9,"no",108,3.61,80.2,0,"no"
"352-1798","no",52,"415",4,114,35.67,209.8,82,14.56,171.3,9,2.67,9.9,"no",119,6.96,154.6,0,"no"
"385-7922","no",119,"415",0,128,37.42,220.1,133,22.8,268.2,3,3.0,11.1,"no",80,6.59,146.5,27,"yes"
"353-7730","no",86,"510",1,72,24.02,141.3,95,13.12,154.3,5,2.21,8.2,"no",91,9.48,210.6,0,"no"
"337-7163","no",42,"408",0,89,33.41,196.5,123,20.51,241.3,7,1.08,4.0,"no",105,6.44,143.2,0,"no"
"348-5567","no",127,"510",2,114,30.75,180.9,118,17.81,209.5,4,2.0,7.4,"yes",105,11.25,249.9,0,"no"
"420-9575","no",123,"408",0,150,17.85,105.0,90,21.39,251.6,5,4.02,14.9,"no",93,11.61,258.0,0,"no"
"366-3358","yes",98,"510",4,119,46.14,271.4,102,16.18,190.4,6,3.0,11.1,"no",118,12.81,284.7,0,"no"
"359-9972","no",149,"510",1,79,35.14,206.7,122,14.84,174.6,3,2.94,10.9,"no",80,10.87,241.5,43,"yes"
"387-3332","no",160,"408",1,109,28.36,166.8,117,20.06,236.0,1,2.51,9.3,"no",77,13.84,307.6,0,"no"
"354-6960","no",103,"415",5,107,34.83,204.9,102,11.49,135.2,3,2.81,10.4,"no",106,9.37,208.2,0,"no"
"405-3335","no",132,"415",1,128,26.28,154.6,106,20.88,245.6,4,2.46,9.1,"no",90,6.69,148.6,15,"yes"
"379-4257","no",137,"415",1,107,21.59,127.0,75,27.47,323.2,2,2.03,7.5,"no",127,6.48,143.9,0,"no"
"355-4992","no",129,"415",1,78,45.46,267.4,85,17.36,204.2,4,1.59,5.9,"yes",146,5.03,111.7,0,"no"
"383-6373","no",62,"415",1,66,47.77,281.0,108,13.65,160.6,0,0.0,0.0,"no",74,3.51,77.9,0,"no"
"382-7993","no",122,"510",4,96,46.04,270.8,110,18.73,220.4,8,3.19,11.8,"no",104,7.65,169.9,33,"yes"
"422-5865","no",32,"408",1,82,29.1,171.2,102,15.78,185.6,7,2.75,10.2,"no",64,9.15,203.3,0,"no"
"410-9961","no",86,"510",3,82,21.1,124.1,120,17.22,202.6,8,1.81,6.7,"no",119,13.03,289.6,0,"no"
"343-9946","no",130,"415",1,113,27.68,162.8,111,24.68,290.3,3,1.94,7.2,"no",140,5.17,114.9,0,"no"
"357-7060","no",42,"408",1,84,24.87,146.3,113,21.75,255.9,12,2.16,8.0,"no",117,2.03,45.0,0,"no"
"355-9541","no",73,"415",2,85,43.32,254.8,80,12.19,143.4,7,4.05,15.0,"no",102,6.93,153.9,0,"no"
"378-4145","no",66,"408",2,108,43.33,254.9,135,20.67,243.2,3,1.46,5.4,"no",95,8.59,190.8,26,"yes"
"386-2317","no",103,"510",0,124,18.31,107.7,104,16.06,188.9,3,2.4,8.9,"no",98,8.83,196.2,31,"yes"
"335-8146","no",128,"408",1,75,27.0,158.8,91,22.51,264.8,7,2.05,7.6,"no",77,12.15,270.0,0,"no"
"377-2235","no",104,"415",2,113,31.09,182.9,85,20.37,239.6,4,1.49,5.5,"no",104,10.34,229.8,0,"no"
"386-9141","no",103,"415",0,112,33.75,198.5,90,3.61,42.5,5,3.35,12.4,"no",124,8.06,179.2,0,"no"
"416-5623","no",124,"415",0,72,30.33,178.4,134,19.86,233.6,2,3.24,12.0,"no",91,8.07,179.4,0,"no"
"327-3053","no",87,"510",1,91,18.85,110.9,115,13.47,158.5,5,1.67,6.2,"no",131,9.34,207.5,0,"no"
"395-6195","yes",109,"415",1,85,28.37,166.9,92,18.8,221.2,4,3.32,12.3,"no",97,8.88,197.3,27,"yes"
"397-8772","no",167,"415",2,91,41.62,244.8,105,5.17,60.8,3,2.89,10.7,"yes",110,7.95,176.7,0,"no"
"346-7656","yes",97,"510",4,96,20.54,120.8,101,14.43,169.8,3,3.21,11.9,"no",63,8.73,194.1,0,"no"
"343-2350","no",106,"415",2,118,28.1,165.3,101,17.85,210.0,3,2.3,8.5,"no",93,8.42,187.2,0,"no"
"372-4722","no",125,"415",2,113,21.54,126.7,131,13.22,155.5,7,3.89,14.4,"no",112,9.28,206.2,0,"no"
"399-8615","no",108,"408",0,106,36.7,215.9,107,17.05,200.6,7,4.19,15.5,"no",107,8.79,195.4,35,"yes"
"379-8248","no",125,"415",1,132,23.82,140.1,126,17.82,209.6,2,2.16,8.0,"no",77,11.88,264.1,0,"no"
"414-6219","no",89,"415",1,113,35.68,209.9,104,21.23,249.8,7,2.35,8.7,"no",92,10.09,224.2,32,"yes"
"387-1343","no",72,"510",0,114,23.77,139.8,91,11.75,138.2,6,1.49,5.5,"yes",88,9.95,221.0,29,"yes"
"370-5527","yes",23,"510",2,107,54.67,321.6,115,21.39,251.6,3,3.05,11.3,"no",158,6.35,141.1,0,"no"
"393-8736","no",149,"510",7,61,28.32,166.6,107,18.6,218.8,6,2.21,8.2,"no",131,9.37,208.3,0,"no"
"402-7626","no",73,"415",0,90,36.41,214.2,78,16.73,196.8,8,1.59,5.9,"no",112,7.11,157.9,0,"no"
"370-2688","yes",61,"415",1,123,44.2,260.0,127,17.89,210.5,3,2.43,9.0,"no",70,10.56,234.7,0,"no"
"418-9036","yes",161,"415",4,113,32.62,191.9,87,6.03,70.9,4,3.62,13.4,"no",107,9.22,204.8,0,"no"
"417-2035","no",73,"408",0,95,36.21,213.0,104,16.05,188.8,3,3.65,13.5,"no",89,6.13,136.2,0,"no"
"355-3602","no",118,"415",1,83,20.08,118.1,72,9.32,109.6,2,4.56,16.9,"no",73,11.05,245.5,24,"yes"
"393-4027","no",23,"408",6,89,32.33,190.2,108,14.14,166.4,4,4.05,15.0,"no",73,9.89,219.8,0,"no"
"418-5141","no",127,"415",0,95,13.97,82.2,109,13.88,163.3,6,1.38,5.1,"no",104,11.92,264.9,25,"yes"
"406-1247","no",42,"415",0,80,27.85,163.8,123,15.11,177.8,5,2.19,8.1,"no",106,8.57,190.4,32,"yes"
"402-3892","yes",118,"415",5,145,45.53,267.8,121,26.89,316.4,11,3.89,14.4,"no",91,9.39,208.6,0,"no"
"332-2965","no",45,"510",2,91,27.17,159.8,86,10.23,120.4,3,2.86,10.6,"no",93,7.34,163.0,0,"no"
"377-1218","no",50,"408",1,129,36.43,214.3,55,24.63,289.8,4,2.86,10.6,"no",130,14.06,312.5,24,"yes"
"355-2464","yes",179,"510",0,123,48.84,287.3,114,24.48,288.0,4,2.84,10.5,"no",112,11.97,266.0,0,"no"
"404-4611","no",152,"408",2,122,17.2,101.2,87,12.04,141.6,3,2.03,7.5,"no",124,8.93,198.5,0,"no"
"373-2339","no",105,"415",2,74,17.48,102.8,125,23.94,281.7,5,3.56,13.2,"no",113,10.26,228.1,0,"no"
"410-3503","no",72,"415",0,97,18.55,109.1,96,9.83,115.7,6,2.24,8.3,"no",84,13.31,295.8,0,"no"
"410-4739","no",52,"408",1,67,36.7,215.9,108,18.45,217.0,2,1.4,5.2,"no",130,15.43,342.8,0,"no"
"365-3562","no",125,"415",1,110,34.58,203.4,97,10.94,128.7,4,2.97,11.0,"no",113,8.57,190.5,0,"no"
"387-7641","no",143,"510",1,113,18.72,110.1,59,14.37,169.0,2,2.48,9.2,"no",94,7.5,166.7,0,"no"
"385-9744","no",65,"415",1,51,18.87,111.0,84,18.68,219.8,14,1.19,4.4,"no",89,9.09,202.0,0,"no"
"398-5006","no",80,"415",1,121,40.78,239.9,51,12.1,142.3,5,2.51,9.3,"no",106,16.39,364.3,0,"no"
"408-3977","no",1,"415",1,107,24.62,144.8,66,9.56,112.5,3,3.73,13.8,"no",79,9.84,218.7,0,"no"
"334-2729","no",60,"408",1,134,23.02,135.4,85,17.5,205.9,4,2.13,7.9,"no",103,9.18,204.0,0,"no"
"334-7685","no",43,"415",1,134,14.31,84.2,103,6.87,80.8,2,2.92,10.8,"no",79,8.82,196.1,0,"no"
"350-9228","no",143,"415",0,127,35.55,209.1,80,9.02,106.1,6,3.78,14.0,"no",90,8.08,179.6,0,"no"
"407-5774","no",81,"415",0,117,22.12,130.1,61,16.66,196.0,5,3.08,11.4,"no",123,6.27,139.3,24,"yes"
"413-4039","no",205,"510",2,139,29.89,175.8,98,13.18,155.0,5,2.11,7.8,"no",64,8.13,180.7,24,"yes"
"343-2077","no",24,"415",1,104,41.12,241.9,112,12.34,145.2,5,1.78,6.6,"no",105,9.65,214.5,0,"no"
"336-5661","no",74,"415",0,106,23.24,136.7,105,19.43,228.6,4,2.65,9.8,"no",114,11.94,265.3,0,"no"
"355-4143","no",77,"510",1,68,11.51,67.7,86,16.63,195.7,2,3.24,12.0,"no",137,10.64,236.5,0,"no"
"366-5918","no",74,"415",1,87,34.07,200.4,105,26.28,309.2,2,2.7,10.0,"no",118,6.84,152.1,0,"no"
"368-7555","yes",74,"510",1,103,21.39,125.8,96,17.65,207.7,4,3.81,14.1,"yes",143,9.33,207.4,0,"no"
"408-2119","no",200,"408",1,87,21.79,128.2,105,11.32,133.2,2,3.02,11.2,"no",123,7.99,177.6,0,"no"
"329-2789","no",86,"408",4,88,38.47,226.3,107,18.96,223.0,3,3.51,13.0,"no",92,11.5,255.6,0,"no"
"334-1508","no",91,"510",0,107,27.59,162.3,115,19.88,233.9,4,2.48,9.2,"no",94,12.48,277.4,37,"yes"
"337-1506","no",76,"415",2,121,38.15,224.4,97,12.57,147.9,2,1.81,6.7,"no",74,8.27,183.8,0,"no"
"396-8400","no",130,"415",1,127,20.49,120.5,52,16.12,189.7,2,3.86,14.3,"no",107,12.15,270.1,0,"no"
"349-2654","no",56,"408",2,90,15.49,91.1,115,15.24,179.3,8,3.21,11.9,"no",89,13.53,300.7,0,"no"
"417-2716","no",117,"415",0,137,28.7,168.8,107,20.52,241.4,4,4.19,15.5,"no",106,9.22,204.8,0,"no"
"402-1725","no",63,"510",2,81,26.1,153.5,115,24.42,287.3,5,1.76,6.5,"no",85,10.36,230.2,0,"no"
"403-3229","no",126,"415",0,88,38.45,226.2,114,11.93,140.3,2,1.73,6.4,"no",110,9.4,208.9,0,"no"
"353-6056","no",132,"510",1,107,32.62,191.9,127,17.59,206.9,2,3.4,12.6,"no",88,12.24,272.0,0,"no"
"399-9802","yes",81,"415",4,147,28.54,167.9,105,16.21,190.7,6,2.48,9.2,"no",103,8.69,193.0,28,"yes"
"366-7069","no",122,"415",2,88,30.6,180.0,77,12.33,145.0,6,3.11,11.5,"no",120,10.52,233.7,0,"no"
"332-5949","yes",46,"408",2,67,43.76,257.4,91,22.19,261.1,5,3.62,13.4,"no",107,9.2,204.4,0,"no"
"393-6376","no",150,"415",1,75,29.65,174.4,80,14.44,169.9,4,2.97,11.0,"no",130,9.07,201.6,28,"yes"
"354-7025","no",99,"408",1,83,27.15,159.7,121,13.21,155.4,3,2.27,8.4,"no",114,11.51,255.7,0,"no"
"351-6585","no",87,"408",1,124,40.32,237.2,87,18.92,222.6,3,2.97,11.0,"no",81,7.8,173.3,0,"no"
"330-5462","no",108,"415",1,129,17.51,103.0,103,20.6,242.3,3,2.13,7.9,"no",89,7.66,170.2,0,"no"
"407-2292","no",101,"415",4,89,26.15,153.8,89,19.89,234.0,2,3.13,11.6,"no",77,8.83,196.3,0,"no"
"340-3011","no",53,"415",3,86,34.87,205.1,95,13.64,160.5,2,2.89,10.7,"no",142,6.73,149.5,0,"no"
"345-9153","no",132,"415",2,93,29.87,175.7,94,15.91,187.2,3,2.32,8.6,"no",118,10.15,225.5,39,"yes"
"379-5503","no",158,"510",2,123,26.5,155.9,112,19.06,224.2,8,2.32,8.6,"no",116,9.95,221.0,0,"no"
"389-6790","no",114,"415",0,109,26.25,154.4,142,18.82,221.4,5,2.78,10.3,"no",103,9.38,208.5,34,"yes"
"408-3610","no",77,"415",2,73,35.65,209.7,63,15.61,183.6,3,1.92,7.1,"no",111,9.25,205.5,23,"yes"
"375-8238","no",144,"415",0,69,25.5,150.0,73,24.3,285.9,15,2.54,9.4,"yes",121,8.58,190.6,0,"no"
"378-5633","no",91,"510",3,97,39.51,232.4,88,15.81,186.0,3,3.32,12.3,"no",128,8.57,190.5,23,"yes"
"389-9120","no",58,"408",2,100,28.12,165.4,87,9.83,115.7,5,3.46,12.8,"no",118,8.72,193.8,0,"no"
"380-2758","no",5,"415",3,106,33.86,199.2,12,15.92,187.3,3,3.59,13.3,"no",85,9.63,214.0,0,"no"
"402-2728","no",97,"408",0,81,36.99,217.6,51,27.24,320.5,3,1.13,4.2,"no",110,6.78,150.7,0,"no"
"354-9062","no",107,"415",3,95,36.06,212.1,88,12.76,150.1,2,2.08,7.7,"no",111,9.89,219.8,0,"no"
"417-2054","no",142,"415",1,75,26.18,154.0,97,14.09,165.8,5,2.92,10.8,"no",83,12.15,270.0,30,"yes"
"353-1941","no",9,"408",1,130,32.95,193.8,98,17.22,202.6,2,3.59,13.3,"no",102,8.6,191.2,31,"yes"
"328-1522","no",73,"415",0,130,29.82,175.4,105,21.09,248.1,4,3.29,12.2,"no",85,5.51,122.4,0,"no"
"408-4529","yes",48,"510",2,63,25.84,152.0,131,22.0,258.8,5,4.24,15.7,"no",109,11.84,263.2,22,"yes"
"417-5320","no",43,"408",0,147,39.13,230.2,121,15.87,186.7,3,2.48,9.2,"no",100,5.78,128.4,0,"no"
"370-9755","yes",122,"408",1,103,29.73,174.9,105,21.1,248.2,3,3.65,13.5,"no",116,7.41,164.6,33,"yes"
"372-4835","no",93,"415",0,68,32.33,190.2,64,22.29,262.2,4,2.38,8.8,"no",92,5.85,130.0,0,"no"
"334-6605","no",85,"415",1,122,29.99,176.4,123,19.12,224.9,1,3.11,11.5,"no",50,9.88,219.6,0,"no"
"399-5564","no",59,"415",3,95,27.35,160.9,65,21.35,251.2,5,1.35,5.0,"no",97,12.3,273.4,0,"no"
"392-2887","no",87,"415",1,90,38.88,228.7,99,13.86,163.0,3,3.19,11.8,"no",90,6.93,154.1,0,"no"
"328-2110","no",137,"408",0,90,24.48,144.0,100,15.44,181.6,2,3.32,12.3,"no",93,5.76,128.1,0,"no"
"383-5976","no",21,"510",6,90,23.1,135.9,84,23.04,271.0,7,2.57,9.5,"no",89,8.06,179.1,31,"yes"
"332-6181","yes",129,"510",0,118,56.83,334.3,104,16.33,192.1,6,2.81,10.4,"no",83,8.59,191.0,0,"no"
"330-5255","no",104,"415",0,77,22.19,130.5,117,11.15,131.2,6,3.51,13.0,"no",63,11.91,264.7,0,"no"
"413-5190","yes",93,"408",4,105,22.81,134.2,128,13.81,162.5,2,3.19,11.8,"no",90,8.4,186.6,21,"yes"
"394-7447","yes",63,"415",4,102,47.26,278.0,114,22.64,266.4,4,3.54,13.1,"no",118,10.08,224.1,0,"no"
"353-7096","no",161,"415",0,70,17.92,105.4,122,18.26,214.8,5,2.11,7.8,"no",126,10.06,223.6,0,"no"
"395-6002","no",50,"510",3,94,32.11,188.9,104,17.33,203.9,8,3.13,11.6,"no",124,6.83,151.8,0,"no"
"372-9816","no",103,"408",1,85,19.01,111.8,102,20.37,239.6,4,1.86,6.9,"no",81,12.07,268.3,24,"yes"
"400-7253","no",84,"415",1,106,27.05,159.1,101,12.73,149.8,18,3.51,13.0,"no",108,9.6,213.4,33,"yes"
"344-7470","no",92,"510",1,105,36.11,212.4,118,19.09,224.6,4,2.43,9.0,"no",105,9.96,221.3,0,"no"
"378-8572","no",77,"415",1,112,24.19,142.3,111,26.04,306.3,1,2.67,9.9,"no",82,8.84,196.5,0,"no"
"345-9140","yes",64,"415",1,55,58.96,346.8,79,21.21,249.5,9,3.59,13.3,"yes",102,12.39,275.4,0,"no"
"340-5460","no",159,"415",1,102,19.36,113.9,146,12.35,145.3,9,3.19,11.8,"no",137,8.78,195.2,15,"yes"
"369-8024","yes",110,"415",1,103,45.54,267.9,74,22.38,263.3,2,2.24,8.3,"yes",106,8.01,178.1,27,"yes"
"395-8595","no",138,"510",3,117,29.14,171.4,128,9.79,115.2,4,4.59,17.0,"no",115,10.1,224.5,0,"no"
"359-4587","no",178,"408",1,150,46.82,275.4,62,15.94,187.5,3,3.67,13.6,"no",126,6.62,147.1,0,"no"
"375-5439","no",38,"415",0,118,33.52,197.2,70,21.24,249.9,2,1.05,3.9,"no",104,13.45,298.9,31,"yes"
"361-3779","no",50,"415",2,97,32.74,192.6,101,11.49,135.2,2,2.13,7.9,"no",101,9.73,216.2,35,"yes"
"375-8934","no",45,"510",1,104,15.59,91.7,119,12.8,150.6,5,2.08,7.7,"no",103,2.85,63.3,26,"yes"
"395-4757","no",70,"510",0,99,21.47,126.3,106,12.04,141.6,2,2.59,9.6,"no",96,11.52,255.9,0,"no"
"421-7205","no",147,"510",3,107,42.76,251.5,110,19.9,234.1,6,2.81,10.4,"no",87,9.6,213.4,33,"yes"
"379-8805","no",94,"510",1,108,32.4,190.6,95,12.95,152.3,5,2.03,7.5,"no",97,6.51,144.7,0,"no"
"348-2150","no",179,"510",0,101,19.74,116.1,99,17.15,201.8,5,3.13,11.6,"no",103,8.19,181.9,0,"no"
"417-9128","no",116,"415",2,91,36.94,217.3,95,18.37,216.1,3,3.05,11.3,"no",76,6.66,148.1,0,"no"
"351-4226","no",59,"510",0,80,30.5,179.4,99,19.76,232.5,3,3.97,14.7,"no",105,7.91,175.8,0,"no"
"330-6630","no",165,"415",0,109,35.31,207.7,94,14.01,164.8,3,2.13,7.9,"no",91,2.45,54.5,0,"no"
"387-9137","yes",133,"408",2,138,47.14,277.3,117,19.41,228.4,4,3.46,12.8,"no",103,5.28,117.3,0,"no"
"372-3987","no",140,"415",1,84,21.3,125.3,121,14.25,167.6,4,2.27,8.4,"no",94,11.73,260.6,0,"no"
"408-5183","no",93,"408",2,91,23.48,138.1,72,14.22,167.3,3,1.84,6.8,"no",115,10.75,238.9,32,"yes"
"412-9357","no",52,"510",0,88,28.78,169.3,97,19.2,225.9,3,2.21,8.2,"no",86,7.74,172.0,38,"yes"
"402-3599","no",64,"415",1,101,34.22,201.3,89,12.22,143.8,3,3.32,12.3,"no",127,6.76,150.2,27,"yes"
"379-5211","no",12,"510",2,117,36.84,216.7,126,9.9,116.5,4,2.65,9.8,"yes",110,9.9,220.0,0,"no"
"405-9217","no",48,"415",2,92,32.37,190.4,85,26.99,317.5,4,2.24,8.3,"no",113,6.0,133.4,0,"no"
"340-9200","no",181,"408",1,91,24.36,143.3,58,16.62,195.5,7,1.62,6.0,"no",95,10.05,223.3,0,"no"
"339-9026","no",168,"415",2,57,16.56,97.4,98,17.31,203.6,2,3.08,11.4,"no",124,7.83,173.9,42,"yes"
"343-4772","no",155,"415",3,111,30.84,181.4,92,14.25,167.7,3,3.05,11.3,"no",122,7.58,168.5,0,"no"
"345-2108","no",105,"510",0,83,41.89,246.4,101,21.78,256.2,4,1.03,3.8,"no",151,7.61,169.0,0,"no"
"401-4650","no",11,"415",2,130,24.38,143.4,50,24.6,289.4,6,2.62,9.7,"no",100,8.73,194.0,0,"no"
"400-3945","no",182,"415",2,111,17.83,104.9,120,16.87,198.5,5,2.16,8.0,"no",91,11.62,258.2,0,"no"
"338-3781","no",104,"415",1,93,26.55,156.2,54,16.41,193.0,5,3.54,13.1,"no",94,10.02,222.7,0,"no"
